inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
ivy-2.0.csv pf,0.20535714285714285,0.22321428571428573,0.21428571428571427,0.24107142857142858,0.20535714285714285,0.21428571428571427,0.25,0.23214285714285715,0.24107142857142858,0.22321428571428573,0.20535714285714285,0.21428571428571427,0.22499999999999995,0.22321428571428573,0.23660714285714285,0.25,0.01563562563876631
ivy-2.0.csv pf,0.3157894736842105,0.32456140350877194,0.3333333333333333,0.3157894736842105,0.2982456140350877,0.2719298245614035,0.3157894736842105,0.30701754385964913,0.32456140350877194,0.3157894736842105,0.2719298245614035,0.3114035087719298,0.31228070175438594,0.3157894736842105,0.3201754385964912,0.3333333333333333,0.017149565261538217
jedit-4.0.csv pf,0.17777777777777778,0.2,0.2,0.18888888888888888,0.2,0.18888888888888888,0.2111111111111111,0.18888888888888888,0.2111111111111111,0.16666666666666666,0.16666666666666666,0.18888888888888888,0.19333333333333333,0.19444444444444445,0.2,0.2111111111111111,0.014054567378526133
jedit-4.0.csv pf,0.1875,0.2,0.2125,0.2,0.2,0.2125,0.1875,0.225,0.1875,0.2,0.1875,0.19375,0.20125,0.2,0.20625,0.225,0.012430361575146915
jedit-4.0.csv pf,0.21428571428571427,0.23809523809523808,0.25,0.16666666666666666,0.19047619047619047,0.20238095238095238,0.16666666666666666,0.2261904761904762,0.27380952380952384,0.23809523809523808,0.16666666666666666,0.19642857142857142,0.21666666666666665,0.22023809523809523,0.23809523809523808,0.27380952380952384,0.03540429844951661
jedit-4.0.csv pf,0.1375,0.1375,0.1625,0.1375,0.15,0.15,0.1625,0.1375,0.1375,0.1625,0.1375,0.1375,0.14750000000000002,0.14375,0.15625,0.1625,0.011486707293408515
jedit-4.0.csv pf,0.21839080459770116,0.20689655172413793,0.25287356321839083,0.22988505747126436,0.2413793103448276,0.25287356321839083,0.20689655172413793,0.25287356321839083,0.27586206896551724,0.22988505747126436,0.20689655172413793,0.22413793103448276,0.23678160919540234,0.23563218390804597,0.25287356321839083,0.27586206896551724,0.02247184413580871
jedit-4.0.csv pf,0.20689655172413793,0.25287356321839083,0.25287356321839083,0.22988505747126436,0.26436781609195403,0.19540229885057472,0.2413793103448276,0.20689655172413793,0.25287356321839083,0.21839080459770116,0.19540229885057472,0.21264367816091956,0.23218390804597702,0.23563218390804597,0.25287356321839083,0.26436781609195403,0.024110548233796596
jedit-4.0.csv pf,0.23404255319148937,0.2127659574468085,0.22340425531914893,0.2765957446808511,0.24468085106382978,0.24468085106382978,0.23404255319148937,0.2127659574468085,0.24468085106382978,0.23404255319148937,0.2127659574468085,0.22872340425531915,0.23617021276595745,0.23404255319148937,0.24468085106382978,0.2765957446808511,0.01862968161214709
jedit-4.0.csv pf,0.3409090909090909,0.36363636363636365,0.32954545454545453,0.32954545454545453,0.32954545454545453,0.3409090909090909,0.32954545454545453,0.3409090909090909,0.3068181818181818,0.3181818181818182,0.3068181818181818,0.32954545454545453,0.33295454545454545,0.32954545454545453,0.3409090909090909,0.36363636363636365,0.015198789884650666
jedit-4.0.csv pf,0.23376623376623376,0.2727272727272727,0.2077922077922078,0.24675324675324675,0.24675324675324675,0.22077922077922077,0.2077922077922078,0.24675324675324675,0.22077922077922077,0.23376623376623376,0.2077922077922078,0.22077922077922077,0.23376623376623376,0.23376623376623376,0.24675324675324675,0.2727272727272727,0.02030483012910575
jedit-4.0.csv pf,0.23863636363636365,0.20454545454545456,0.23863636363636365,0.25,0.23863636363636365,0.22727272727272727,0.23863636363636365,0.25,0.2727272727272727,0.2159090909090909,0.20454545454545456,0.23295454545454547,0.2375,0.23863636363636365,0.24431818181818182,0.2727272727272727,0.018901477196779766
jedit-4.1.csv pf,0.2911392405063291,0.21518987341772153,0.27848101265822783,0.24050632911392406,0.22784810126582278,0.20253164556962025,0.34177215189873417,0.31645569620253167,0.25316455696202533,0.3670886075949367,0.20253164556962025,0.23417721518987342,0.27341772151898736,0.26582278481012656,0.3037974683544304,0.3670886075949367,0.05540134198200794
jedit-4.1.csv pf,0.16853932584269662,0.1348314606741573,0.16853932584269662,0.15730337078651685,0.1797752808988764,0.14606741573033707,0.1797752808988764,0.16853932584269662,0.15730337078651685,0.1797752808988764,0.1348314606741573,0.15730337078651685,0.16404494382022472,0.16853932584269662,0.1741573033707865,0.1797752808988764,0.015167383319338267
jedit-4.1.csv pf,0.17857142857142858,0.2261904761904762,0.30952380952380953,0.2619047619047619,0.2976190476190476,0.27380952380952384,0.2619047619047619,0.21428571428571427,0.23809523809523808,0.2261904761904762,0.17857142857142858,0.2261904761904762,0.2488095238095238,0.25,0.2678571428571429,0.30952380952380953,0.03986071112332599
